threads,worker,n_samples,min_ms,median_ms,max_ms
2,0,25,315.461,350.196,377.268
2,1,25,320.004,352.366,374.393
3,0,25,119.514,127.142,197.547
3,1,25,361.910,385.288,461.495
3,2,25,120.724,127.598,193.249
4,0,25,60.566,68.097,84.532
4,1,25,259.009,274.981,311.536
4,2,25,260.676,280.317,307.761
4,3,25,60.151,68.968,95.275
5,0,25,31.253,33.799,44.190
5,1,25,174.977,187.123,256.605
5,2,25,264.068,291.904,362.538
5,3,25,169.452,185.075,258.453
5,4,25,28.748,33.430,54.878
6,0,25,19.302,21.982,27.893
6,1,25,119.094,130.466,158.111
6,2,25,208.077,228.839,278.438
6,3,25,208.195,229.351,285.077
6,4,25,118.173,133.387,159.517
6,5,25,18.569,22.226,39.273
7,0,25,14.942,19.445,24.311
7,1,25,81.460,93.351,184.815
7,2,25,153.309,175.555,269.663
7,3,25,200.380,231.717,322.196
7,4,25,154.267,178.208,268.623
7,5,25,82.801,97.432,180.450
7,6,25,15.697,21.396,39.083
8,0,25,11.294,26.973,43.068
8,1,25,59.405,73.443,115.775
8,2,25,116.362,144.847,184.520
8,3,25,167.905,208.247,283.713
8,4,25,185.887,212.300,322.470
8,5,25,112.814,152.008,201.891
8,6,25,56.821,81.077,98.635
8,7,25,11.331,26.236,37.898
