view,mode,run,serial_ms,ispc_ms,task_ms,ispc_speedup,task_speedup,task_over_ispc
1,no_tasks,1,243.596,48.732,,5.00,,
1,no_tasks,2,237.868,48.887,,4.87,,
1,no_tasks,3,236.907,49.445,,4.79,,
1,no_tasks,4,243.860,50.470,,4.83,,
1,no_tasks,5,241.542,50.632,,4.77,,
2,no_tasks,1,148.236,33.629,,4.41,,
2,no_tasks,2,144.616,33.863,,4.27,,
2,no_tasks,3,144.117,34.716,,4.15,,
2,no_tasks,4,141.661,35.925,,3.94,,
2,no_tasks,5,157.915,37.440,,4.22,,
1,tasks,1,238.211,50.280,25.895,4.74,9.20,1.942
1,tasks,2,238.838,48.386,25.984,4.94,9.19,1.862
1,tasks,3,242.003,48.947,25.609,4.94,9.45,1.911
1,tasks,4,240.267,49.079,25.125,4.90,9.56,1.953
1,tasks,5,246.884,49.648,25.384,4.97,9.73,1.956
2,tasks,1,147.002,34.918,20.850,4.21,7.05,1.675
2,tasks,2,146.481,34.940,20.608,4.19,7.11,1.695
2,tasks,3,143.728,34.969,21.109,4.11,6.81,1.657
2,tasks,4,131.322,32.255,19.366,4.07,6.78,1.666
2,tasks,5,130.715,31.912,19.386,4.10,6.74,1.646
