task_count,runs,mean_serial_ms,mean_ispc_ms,mean_task_ms,mean_ispc_speedup,mean_task_speedup,mean_task_over_ispc
2,5,345.199,87.514,46.946,4.280,8.232,1.905
4,5,302.528,63.037,30.371,4.796,10.674,2.180
8,5,248.274,52.361,13.556,4.750,18.356,3.863
16,5,231.782,48.794,8.871,4.752,26.780,5.622
25,5,248.921,52.788,8.173,4.716,30.554,6.473
40,5,231.070,48.670,8.107,4.748,28.674,6.035
50,5,251.272,52.170,8.410,4.820,30.032,6.236
80,5,251.395,53.917,8.998,4.662,28.590,6.118
100,5,248.934,51.349,8.346,4.848,29.888,6.165
160,5,239.110,50.474,8.535,4.750,28.144,5.927
