task_count,run,serial_ms,ispc_ms,task_ms,ispc_speedup,task_speedup,task_over_ispc
2,1,375.663,152.477,88.397,2.46,4.25,1.725
2,2,360.792,73.993,39.088,4.88,9.23,1.893
2,3,363.946,74.124,38.124,4.91,9.55,1.944
2,4,314.633,65.932,33.143,4.77,9.49,1.989
2,5,310.960,71.044,35.980,4.38,8.64,1.975
4,1,446.775,78.542,29.586,5.69,15.10,2.655
4,2,277.557,72.727,49.881,3.82,5.56,1.458
4,3,253.782,51.879,23.782,4.89,10.67,2.181
4,4,285.659,61.751,26.455,4.63,10.80,2.334
4,5,248.866,50.287,22.150,4.95,11.24,2.270
8,1,246.456,49.820,12.835,4.95,19.20,3.882
8,2,248.007,50.587,12.881,4.90,19.25,3.927
8,3,238.565,49.150,13.021,4.85,18.32,3.775
8,4,249.305,55.874,14.522,4.46,17.17,3.848
8,5,259.039,56.375,14.521,4.59,17.84,3.882
16,1,222.011,47.175,8.062,4.71,27.54,5.852
16,2,221.966,45.828,7.158,4.84,31.01,6.402
16,3,221.238,46.153,8.725,4.79,25.36,5.290
16,4,239.644,52.285,11.898,4.58,20.14,4.394
16,5,254.051,52.527,8.512,4.84,29.85,6.171
25,1,239.205,50.741,8.200,4.71,29.17,6.188
25,2,240.286,50.218,7.472,4.78,32.16,6.721
25,3,243.220,50.999,7.555,4.77,32.19,6.750
25,4,257.160,56.169,9.070,4.58,28.35,6.193
25,5,264.733,55.812,8.568,4.74,30.90,6.514
40,1,220.939,46.368,7.518,4.76,29.39,6.168
40,2,221.083,45.029,6.942,4.91,31.85,6.486
40,3,218.948,48.944,8.320,4.47,26.31,5.883
40,4,239.130,50.150,8.277,4.77,28.89,6.059
40,5,255.251,52.861,9.477,4.83,26.93,5.578
50,1,239.513,50.217,7.797,4.77,30.72,6.441
50,2,242.478,49.094,8.609,4.94,28.16,5.703
50,3,240.351,49.377,7.688,4.87,31.26,6.423
50,4,274.593,58.024,8.247,4.73,33.30,7.036
50,5,259.426,54.136,9.711,4.79,26.72,5.575
80,1,238.043,50.393,7.827,4.72,30.41,6.438
80,2,249.863,53.988,8.679,4.63,28.79,6.221
80,3,241.358,53.470,11.820,4.51,20.42,4.524
80,4,268.806,57.906,8.413,4.64,31.95,6.883
80,5,258.903,53.826,8.251,4.81,31.38,6.524
100,1,244.346,50.647,9.083,4.82,26.90,5.576
100,2,243.845,49.356,8.076,4.94,30.19,6.111
100,3,238.299,49.308,7.842,4.83,30.39,6.288
100,4,258.348,54.611,8.242,4.73,31.34,6.626
100,5,259.831,52.821,8.485,4.92,30.62,6.225
160,1,235.868,48.249,7.535,4.89,31.30,6.403
160,2,232.770,49.130,8.926,4.74,26.08,5.504
160,3,236.155,48.206,8.174,4.90,28.89,5.897
160,4,242.163,55.809,9.209,4.34,26.30,6.060
160,5,248.596,50.974,8.830,4.88,28.15,5.773
